"playerId","skaterFullName","team_abbr","positionCode","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","goals_per_game","points_per_game","timeOnIcePerGame","toi_5v5_per_game","corsi_for","corsi_against","corsi_percentage","corsi_relative","fenwick_for","fenwick_against","fenwick_percentage","fenwick_relative","OnIce_F_xGoals","OnIce_A_xGoals","I_F_xGoals","I_F_highDangerxGoals","I_F_mediumDangerxGoals","I_F_lowDangerxGoals","zone_start_pct","onIce_xGoalsPercentage","xGoals_plus_minus","goals_above_expected","xGoals_per_60","elite_possession","elite_xg_creation","high_danger_specialist"
8484801,"Macklin Celebrini","SJS","C",70,25,38,63,-31,236,0.10593,0.357142857142857,0.9,1187.2857,905.41,1055,1091,0.491,0.05,758,766,0.497,0.062,20.37,21.69,2.89,0.93,0.77,1.18,0.51,0.48,-1.32,22.11,0.0020863915544025,0,1,0
8484829,"Justin Hryckowian","DAL","C",5,0,1,1,1,3,0,0,0.2,472.8,470.6,29,37,0.439,-0.072,24,24,0.5,0.004,0,0.13,0,0,0,0,0.318,0,-0.13,0,0,0,0,0
8484911,"Collin Graf","SJS","R",33,5,6,11,-4,40,0.125,0.151515151515152,0.333333333333333,951.5757,731.24,331,413,0.444,-0.034,228,281,0.447,-0.042,1.56,2.52,0.13,0,0.13,0,0.393,0.38,-0.96,4.87,0.000248391837206053,0,0,0
8484929,"Juha Jaaska","CAR","L",18,0,4,4,0,11,0,0,0.222222222222222,535.7222,522.05,173,102,0.629,0.062,129,76,0.629,0.06,0,0,0,0,0,0,0.617,0,0,0,0,0,0,0
8484938,"Arttu Hyry","DAL","R",5,0,1,1,0,5,0,0,0.2,545,542.2,49,57,0.462,-0.05,26,36,0.419,-0.074,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
8484958,"Maxim Tsyplakov","NYI","R",77,10,25,35,4,116,0.0862,0.12987012987013,0.454545454545455,898.0259,789.15,1026,980,0.511,0.017,748,681,0.523,0.024,4.9,3.26,0.96,0.78,0.15,0.03,0.537,0.6,1.64,9.04,0.0008329959615329,0,0,0
8484976,"Jere Innala","COL","L",17,0,0,0,-3,8,0,0,0,429,416.05,81,101,0.445,-0.09,59,61,0.491,-0.046,0.11,0,0.11,0,0.11,0,0.375,1,0.11,-0.11,0.000904977375565611,0,0,0
8484984,"Ivan Demidov","MTL","R",7,1,3,4,-4,7,0.14285,0.142857142857143,0.571428571428571,855.4285,631.42,71,68,0.51,-0.017,45,53,0.459,-0.053,0.07,0.15,0,0,0,0,0.627,0.31,-0.08,1,0,0,0,0
8485105,"Nikita Prishchepov","COL","C",10,0,0,0,0,4,0,0,0,382,382,62,55,0.529,0.008,43,38,0.53,0.001,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0
8485483,"Karsen Dorwart","PHI","L",5,0,0,0,-1,4,0,0,0,658.8,590.8,32,52,0.38,-0.072,22,38,0.366,-0.115,0.08,0,0,0,0,0,0.545,1,0.08,0,0,0,0,0
