"playerId","skaterFullName","team_abbr","positionCode","shootsCatches","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","lastName","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","teamAbbrevs","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus"
8477956,"David Pastrnak","BOS","R","R",82,43,63,106,0,319,0.13479,0.375,1211.1707,926.74,1189,-61,73,38,1234,0.051,33,45,0.509,871,-10,12,24,891,0.047,18,20,0.505,0.682,0.12,0.905,34,83,4,"Pastrnak",3,42,1.29268,9,23,20242025,0,0,"BOS",0.524390243902439,0.768292682926829,1.29268292682927,3.89024390243902,45,20
8476854,"Hampus Lindholm","BOS","D","L",17,3,4,7,-4,35,0.08571,NA,1251.3529,839.76,223,5,-1,10,236,0.057,9,13,0.514,155,14,-3,10,173,0.077,7,18,0.527,0.454,0.093,0.931,3,6,1,"Lindholm",0,4,0.41176,0,1,20242025,0,0,"BOS",0.176470588235294,0.235294117647059,0.411764705882353,2.05882352941176,13,18
8483017,"Frederic Brunet","BOS","D","L",1,0,0,0,-1,2,0,NA,863,812,16,1,-2,-10,5,-0.175,-10,-11,0.238,9,1,-2,-5,4,-0.153,-4,-5,0.307,0.4,0,0.833,0,0,0,"Brunet",0,0,0,0,0,20242025,0,0,"BOS",0,0,0,2,-11,-5
8482511,"Mason Lohrei","BOS","D","L",77,5,28,33,-43,92,0.05434,NA,1171.6493,970.1,1298,-81,-57,-53,1162,0.001,2,-136,0.472,904,-43,-78,-36,788,-0.004,5,-116,0.465,0.591,0.1,0.881,4,17,0,"Lohrei",0,16,0.42857,1,16,20242025,0,0,"BOS",0.0649350649350649,0.363636363636364,0.428571428571429,1.19480519480519,-136,-116
8477887,"Patrick Brown","BOS","C","R",15,0,1,1,-2,11,0,0.45454,633.9333,576.26,149,-7,-22,-54,98,-0.086,-22,-51,0.396,88,2,-21,-29,58,-0.072,-11,-30,0.397,0.18,0.025,0.939,0,1,0,"Brown",0,8,0.06666,0,0,20242025,0,0,"BOS",0,0.0666666666666667,0.0666666666666667,0.733333333333333,-51,-30
8481558,"John Farinacci","BOS","C","R",1,1,0,1,1,1,1,0.75,658,603,10,0,0,0,11,0.213,1,1,0.523,6,0,0,2,9,0.248,3,3,0.6,0,0.166,1,1,1,0,"Farinacci",0,0,1,0,0,20242025,0,0,"BOS",1,0,1,1,1,3
8481043,"Cole Koepke","BOS","L","L",73,10,7,17,1,85,0.11764,0,674.7671,620.04,726,-61,-65,-61,582,-0.035,-18,-144,0.444,485,-5,-48,-35,421,-0.011,-11,-64,0.464,0.3,0.092,0.922,10,17,2,"Koepke",0,17,0.23287,0,0,20242025,0,0,"BOS",0.136986301369863,0.0958904109589041,0.232876712328767,1.16438356164384,-144,-64
8483567,"Georgii Merkulov","BOS","C","L",6,0,1,1,-1,7,0,0,824,723.5,80,-6,-9,-8,63,-0.013,-2,-17,0.44,57,0,-10,-4,49,0.021,2,-8,0.462,0.511,0.093,0.933,0,1,0,"Merkulov",0,2,0.16666,0,0,20242025,0,0,"BOS",0,0.166666666666667,0.166666666666667,1.16666666666667,-17,-8
8480070,"Ian Mitchell","BOS","D","R",15,0,1,1,-2,10,0,NA,936,861.46,222,-27,-22,-21,152,-0.06,-21,-70,0.406,155,-12,-17,-17,106,-0.069,-20,-49,0.406,0.496,0.119,0.914,0,1,0,"Mitchell",0,2,0.06666,0,0,20242025,0,0,"BOS",0,0.0666666666666667,0.0666666666666667,0.666666666666667,-70,-49
8479325,"Charlie McAvoy","BOS","D","R",50,7,16,23,0,98,0.07142,NA,1420.22,1044.58,826,-22,10,33,819,0.019,5,-7,0.497,593,-8,6,4,587,0.021,-4,-6,0.497,0.608,0.09,0.92,4,18,2,"McAvoy",0,46,0.46,2,4,20242025,1,1,"BOS",0.14,0.32,0.46,1.96,-7,-6
8481556,"John Beecher","BOS","C","L",78,3,8,11,-9,44,0.06818,0.52029,677.0128,575.16,752,-72,-40,-134,573,-0.053,-67,-179,0.432,495,-20,-22,-76,415,-0.022,-38,-80,0.456,0.177,0.075,0.907,3,11,0,"Beecher",0,26,0.14102,0,0,20242025,0,0,"BOS",0.0384615384615385,0.102564102564103,0.141025641025641,0.564102564102564,-179,-80
8477507,"Nikita Zadorov","BOS","D","L",81,4,18,22,25,105,0.03809,NA,1236.679,1050.9,1393,-84,-8,-60,1260,0,-41,-133,0.474,1005,-17,-45,-50,908,0,-35,-97,0.474,0.442,0.09,0.926,4,20,0,"Zadorov",0,145,0.2716,0,0,20242025,0,2,"BOS",0.0493827160493827,0.222222222222222,0.271604938271605,1.2962962962963,-133,-97
8478450,"Parker Wotherspoon","BOS","D","L",55,1,6,7,-10,44,0.02272,NA,1081.7454,966.9,843,-95,-1,-40,755,-0.005,8,-88,0.472,577,-35,-10,-22,532,0.003,0,-45,0.479,0.416,0.08,0.913,1,7,0,"Wotherspoon",0,10,0.12727,0,0,20242025,0,0,"BOS",0.0181818181818182,0.109090909090909,0.127272727272727,0.8,-88,-45
8480828,"Michael Callahan","BOS","D","L",17,1,0,1,-5,9,0.11111,NA,848.5882,783.58,264,-46,-6,-28,197,-0.068,-15,-67,0.427,199,-36,-6,-19,144,-0.066,-13,-55,0.419,0.262,0.092,0.896,1,1,0,"Callahan",0,7,0.05882,0,0,20242025,0,0,"BOS",0.0588235294117647,0,0.0588235294117647,0.529411764705882,-67,-55
8482763,"Fabian Lysell","BOS","R","R",12,1,2,3,-4,21,0.04761,NA,806.5,733.66,134,-7,-22,-4,105,-0.01,0,-29,0.439,100,-7,-23,-1,73,-0.046,3,-27,0.421,0.554,0.108,0.869,0,2,1,"Lysell",0,6,0.25,1,1,20242025,0,0,"BOS",0.0833333333333333,0.166666666666667,0.25,1.75,-29,-27
8478401,"Pavel Zacha","BOS","C","L",82,14,33,47,-8,132,0.10606,0.53179,1143.7439,817.3,1108,-75,55,-33,1045,0.015,-43,-63,0.485,808,-46,9,-30,739,0.005,-32,-69,0.477,0.63,0.107,0.904,10,37,5,"Zacha",2,21,0.57317,2,7,20242025,2,3,"BOS",0.170731707317073,0.402439024390244,0.573170731707317,1.60975609756098,-63,-69
8483505,"Matthew Poitras","BOS","C","R",33,1,10,11,-5,29,0.03448,0.45736,785.2727,696.93,355,-13,14,24,360,0.037,4,5,0.503,264,-3,-6,-2,245,0.015,-10,-19,0.481,0.627,0.075,0.92,1,11,1,"Poitras",0,8,0.33333,0,0,20242025,0,0,"BOS",0.0303030303030303,0.303030303030303,0.333333333333333,0.878787878787879,5,-19
8474870,"Tyler Johnson","BOS","C","R",9,0,2,2,-1,6,0,0.63636,784.6666,701.66,99,-7,7,-20,86,-0.064,-13,-13,0.464,71,-5,4,-19,58,-0.077,-12,-13,0.449,0.421,0.121,0.913,0,1,0,"Johnson",0,10,0.22222,0,1,20242025,0,0,"BOS",0,0.222222222222222,0.222222222222222,0.666666666666667,-13,-13
8479705,"Jeffrey Viel","BOS","L","L",5,0,0,0,-1,3,0,1,461.4,458.8,40,1,-10,-7,31,-0.031,0,-9,0.436,23,2,-5,1,24,0.038,4,1,0.51,0.304,0,0.933,0,0,0,"Viel",0,14,0,0,0,20242025,0,0,"BOS",0,0,0,0.6,-9,1
8479968,"Vinni Lettieri","BOS","C","R",26,3,2,5,-9,52,0.05769,0.5,811.0769,735.3,314,-15,-32,-3,271,0.012,4,-43,0.463,231,-13,-26,-3,194,0.01,2,-37,0.456,0.44,0.061,0.9,3,5,0,"Lettieri",0,6,0.1923,0,0,20242025,0,0,"BOS",0.115384615384615,0.0769230769230769,0.192307692307692,2,-43,-37
8482213,"Riley Duran","BOS","C","R",2,0,0,0,-1,5,0,0.5,763.5,727,8,11,2,12,25,0.249,4,17,0.757,7,8,2,8,19,0.195,2,12,0.73,0.5,0,0.857,0,0,0,"Duran",0,2,0,0,0,20242025,0,0,"BOS",0,0,0,2.5,17,12
8479419,"Brett Murray","BUF","L","L",3,0,0,0,-2,0,NA,NA,474.6666,451.33,28,-3,-3,-13,15,-0.116,-7,-13,0.348,20,-4,-2,-13,7,-0.195,-7,-13,0.259,0.583,0,0.916,0,0,0,"Murray",0,0,0,0,0,20242025,0,0,"BUF",0,0,0,0,-13,-13
8484145,"Zach Benson","BUF","L","L",75,10,18,28,-2,120,0.08333,0.19047,889.1066,727.09,772,59,110,73,965,0.077,24,193,0.555,572,44,43,46,674,0.065,15,102,0.54,0.508,0.096,0.887,7,24,0,"Benson",0,60,0.37333,3,4,20242025,0,0,"BUF",0.133333333333333,0.24,0.373333333333333,1.6,193,102
8482765,"Isak Rosen","BUF","R","L",8,0,1,1,-3,8,0,NA,578.375,558,73,2,-7,13,79,0.055,11,6,0.519,58,-6,-5,6,55,0.014,8,-3,0.486,0.386,0.057,0.904,0,1,0,"Rosen",0,0,0.125,0,0,20242025,0,0,"BUF",0,0.125,0.125,1,6,-3
8482097,"Jack Quinn","BUF","R","R",74,15,24,39,-18,123,0.12195,0.14285,891.7972,723.97,889,-58,22,15,844,-0.014,-9,-45,0.487,682,-33,-13,-18,607,-0.03,-29,-75,0.47,0.555,0.099,0.904,12,26,3,"Quinn",0,18,0.52702,3,13,20242025,0,0,"BUF",0.202702702702703,0.324324324324324,0.527027027027027,1.66216216216216,-45,-75
8477949,"Alex Tuch","BUF","R","R",82,36,31,67,16,196,0.18367,0.40957,1155.256,795.24,1093,-64,-6,71,1079,-0.002,56,-14,0.496,764,-22,-12,67,780,0.015,50,16,0.505,0.514,0.111,0.913,27,47,4,"Tuch",1,47,0.81707,3,11,20242025,6,9,"BUF",0.439024390243902,0.378048780487805,0.817073170731707,2.39024390243902,-14,16
8480839,"Rasmus Dahlin","BUF","D","L",73,17,51,68,11,200,0.085,NA,1454.1369,1116.68,1221,-2,189,145,1485,0.08,77,264,0.548,882,23,119,94,1067,0.086,43,185,0.547,0.555,0.097,0.913,12,46,1,"Dahlin",1,54,0.9315,5,21,20242025,0,1,"BUF",0.232876712328767,0.698630136986301,0.931506849315068,2.73972602739726,264,185
